,fluxes,reduced_costs
CYTD,0.0,2192.0077551615723
AKGDH,0.0,283.4008789556101
HPYRRx_num1,0.0,1046.4348863698415
GLYCDx,0.0,1796.7770605766473
ASP1DC,0.0002344538669152774,-4808.760862615348
UGMDDS,0.009666178121425988,-74.12782046762462
DCYTD,0.0,2176.5623841481565
DBTS,6.957088039028349e-07,-2348565.2669041804
DCTPD,0.0,2639.151487777086
UHGADA,0.013535710488733555,-41.32856988727414
AMANK,0.0,-139.0457999729879
UAGAAT,0.013535710488733555,-465.45705536960304
ATPPRT,0.032955030332073386,-739.7900172125048
HISTD,0.032955030332073386,-725.5672868012399
DHDPS,0.12903624254947632,-278.5712568936657
G1PACT,0.03286806673158553,-226.33182341574596
GART,0.0,8586.766417320365
CSND,0.0,5732.899025587485
GF6PTA,0.03286806673158553,-1481.1388911075856
IGPDH,0.032955030332073386,-517.6154957229337
EX_glyclt_e,0.0,79.66062219658676
PRPPS,0.40927574941278205,-106.03528128561086
H2SO,0.0,4970.497219297662
GLUCYS,0.0,-208.23940343626694
PRATPP,0.032955030332073386,-27.158319632573928
GLUN_num1,0.0,1351.8740368358349
PRMICI,0.032955030332073386,-65.31837323527725
GLUPRT,0.15584468559906633,-92.09463753664133
EX_g6p_e,0.0,315.1416189884052
GMPR,0.0,5573.116716590837
SERAT,0.08608770310374071,-114.58847902459092
CYSS_num1,0.08608770310374071,-122.33843577369043
NADS1,0.000792412327646102,-29808.865285114443
BPNT,0.08608770310374071,-32.04508646160014
EX_2ddglcn_e,0.0,634.6505277856581
PAPSR_num1,0.0,-172.09992418875493
ASPK_num1,0.0,-4.267759952079359
ASAD,0.0,854.244472316188
DAPDC,0.11937006442805036,-58.157824237277026
EX_mmet_e,0.0,43945.80913127267
NTRIR2x,0.0,459.2946331667502
OCBT_num1,0.0,-212.6142862046159
GARFT,0.15584468559906633,-7.046595946577355
GPDDA1,0.0,611.8928007638988
GPDDA2,0.0,3211.5235379411283
PHETA1_num1,0.0,540.5509132563836
PPND,0.04804530214312782,-94.96255487854069
METAT,0.0003123732529523729,-680253.8507759119
ASCBPL,0.0,426.9863942310222
ACBIPGT,0.0,17472.69761836688
TRPS1,0.0,-353.7848145335156
PRAMPC,0.032955030332073386,-27.158319632573694
ADOCBLS,0.0,-232.20900027208248
EX_galct__D_e,0.0,0.0
ADOCBIK,0.0,15582.256365748526
TMPK,7.757153163516609e-05,-3710.771182987929
HPPPNDO,0.0,1761.9190435482074
MCITL2,0.0,-293.51555553251336
DXYLK,0.0,-246.10434423963855
MDH3,0.0,-32.29035815426249
SOTA,0.0,-315.01168919967074
DHCINDO,0.0,-616.3471697509553
SGSAD,0.0,9151.698810315651
HKNDDH,0.0,-147.78934944794756
EX_idon__L_e,0.0,458.310320624194
HKNTDH,0.0,2844.6478669423923
GLYCK2,0.0,-57.454346858875425
PTA2,0.0,438.117566404316
MDH2,0.36232931932541834,-125.61083731780695
EX_indole_e,0.0,8900.032932191958
ACOTA_num1,0.0,687.5280330657483
GPDDA5,0.0,-220.48877868404693
PDX5PS,7.757153163516609e-05,-2610.273684885338
PPBNGS,0.0006205722530813287,-28885.061896140553
ENTCS,0.0,-191.05166751691766
SULR,0.08608770310374071,-963.41872556036
MANPGH,0.0,141.04376691202629
URDGLYCD,0.0,-644.6861980651638
CBMKr,0.2179610461555328,-76.78824926394196
PPNCL2,0.0002344538669152774,-84524.71280461627
PRAGSr,0.15584468559906633,-57.86978238392024
PRFGS,0.15584468559906633,-247.66419838081495
AMANAPEr,0.0,-83.26191696810656
EX_3hcinnm_e,0.0,-2.0
ACM6PH,0.0,-425.46853263226694
NNATr,0.000792412327646102,-144.0447053671216
CYTDH_num1,0.0,-114.06034456458019
EX_acac_e,0.0,-2.0
ETHAAL,0.0,364.63480347942857
MAN1PT2,0.0,-28.675969972715393
PSERT,0.5785444842375567,-235.1658329357897
AP4AH,0.0,-37.52093370177869
EX_acmana_e,0.0,9503.818046664423
AP5AH,0.0,-66.84717825253307
ADNCYC,0.0,721.3356958756635
AIRC2,0.15576711406743116,-14.46495357356892
GAPD,9.514831116455172,-5.460449143293225
MI1PP,0.0,-8.322034710233034
EX_galur_e,0.0,-2.0
MCITS,0.0,-216.16444519725067
PPAKr,0.0,1082.984342377902
HEX1,2.381634558285453,-65.92419443913607
GND,2.6409200116840124,-115.83322058556223
TAUDO,0.0,170.85217604558284
DM_amob_c,6.957088039028349e-07,-2.0
NTP3_num1,0.0,606.9631379690072
PPM2,0.0,319.0267729872148
MOAT2,0.006767855244366777,-21.495734751536475
EX_adn_e,0.0,13844.623796881535
EX_ins_e,0.0,12644.595288201765
G6PDH2r,2.6409200116840124,-10.741178839646665
ME2,0.0,604.3766885699079
ARGSL,0.10289254926201366,-113.26142424663641
CBPS,0.0,3553.2682345868743
GLU5K,0.07689495482337058,-153.99376948736062
IPPS,0.15671919156557404,-141.3640980078317
EX_mg2_e,0.0,2.0
ACOATA,0.0,1267.777328403201
NADH5_num1,0.0,169.2010000912506
MOHMT,0.0002344538669152774,-686813.4460824977
EX_glyc3p_e,0.0,1287.1546883166504
MLTG2,0.0,315.9424722390705
EX_but_e,0.0,406.02975704110037
MLTG1,0.0,-95.5651145563424
AMALT3,0.0,-262.39409670737854
